Tempo de resposta,Latencia,"Error (0 = OK, 1 = Error)",Timestamp,CPU (%),Memoria (MB)
6.823894500732422,6.802837,0,2024-09-12 11:08:26,18.3,3588.59765625
6.8602986335754395,6.838832,0,2024-09-12 11:08:26,27.2,3588.63671875
6.9160683155059814,6.896274,0,2024-09-12 11:08:26,26.2,3587.328125
6.946442604064941,6.926122,0,2024-09-12 11:08:26,21.8,3585.18359375
6.975330591201782,6.952417,0,2024-09-12 11:08:26,11.8,3584.64453125
6.99250340461731,6.974819,0,2024-09-12 11:08:26,7.9,3584.14453125
7.029884576797485,7.011988,0,2024-09-12 11:08:27,13.3,3583.69140625
7.06781792640686,7.050476,0,2024-09-12 11:08:27,18.0,3582.92578125
7.102888822555542,7.081262,0,2024-09-12 11:08:27,21.3,3583.07421875
7.173047780990601,7.151215,0,2024-09-12 11:08:27,18.2,3582.89453125
7.1930670738220215,7.172469,0,2024-09-12 11:08:27,11.8,3582.7109375
7.19085168838501,7.167289,0,2024-09-12 11:08:27,13.2,3582.18359375
7.250882625579834,7.233039,0,2024-09-12 11:08:27,10.3,3582.25390625
7.25989294052124,7.238131,0,2024-09-12 11:08:27,16.5,3582.046875
7.30529522895813,7.2813,0,2024-09-12 11:08:27,25.6,3581.9296875
7.335300922393799,7.310787,0,2024-09-12 11:08:27,28.2,3582.46875
7.37830114364624,7.36099,0,2024-09-12 11:08:27,17.5,3591.0625
7.374300956726074,7.354154,0,2024-09-12 11:08:27,17.5,3589.76171875
7.396298885345459,7.37305,0,2024-09-12 11:08:27,19.8,3589.71484375
7.453302383422852,7.423643,0,2024-09-12 11:08:27,21.8,3589.28515625
7.506314516067505,7.485365,0,2024-09-12 11:08:27,21.4,3588.984375
7.518886566162109,7.49652,0,2024-09-12 11:08:27,19.0,3589.16796875
7.544880390167236,7.526807,0,2024-09-12 11:08:27,11.8,3588.95703125
7.669877052307129,7.647592,0,2024-09-12 11:08:27,11.1,3589.52734375
7.635305404663086,7.615715,0,2024-09-12 11:08:27,9.5,3588.0078125
7.821878433227539,7.802093,1,2024-09-12 11:08:27,12.0,3587.59375
7.715876817703247,7.691509,0,2024-09-12 11:08:27,12.0,3587.421875
7.72987699508667,7.708161,0,2024-09-12 11:08:27,16.2,3587.84765625
7.807873725891113,7.787292,0,2024-09-12 11:08:27,23.8,3587.9453125
7.797471523284912,7.779232,0,2024-09-12 11:08:27,25.0,3587.9296875
7.841875076293945,7.818591,0,2024-09-12 11:08:27,25.0,3587.015625
7.853992700576782,7.829867,0,2024-09-12 11:08:27,14.7,3586.5078125
7.939147710800171,7.920213,0,2024-09-12 11:08:27,13.9,3586.47265625
7.978870630264282,7.962245,0,2024-09-12 11:08:28,11.4,3586.56640625
8.004886388778687,7.984001,0,2024-09-12 11:08:28,23.8,3585.96875
8.007875442504883,7.988154,0,2024-09-12 11:08:28,18.2,3586.0703125
8.085302591323853,8.061931,0,2024-09-12 11:08:28,21.2,3582.515625
8.104985475540161,8.079202,0,2024-09-12 11:08:28,17.5,3582.625
8.127319097518921,8.104935,0,2024-09-12 11:08:28,19.3,3582.05859375
8.16586947441101,8.140512,0,2024-09-12 11:08:28,26.2,3582.6640625
8.204877614974976,8.184822,0,2024-09-12 11:08:28,22.9,3582.1796875
8.203871726989746,8.181938,0,2024-09-12 11:08:28,34.9,3582.16015625
8.233362436294556,8.210125,0,2024-09-12 11:08:28,33.3,3607.08203125
8.27800464630127,8.248477,0,2024-09-12 11:08:28,36.8,3608.85546875
8.286895275115967,8.266306,0,2024-09-12 11:08:28,27.8,3617.51171875
8.356871843338013,8.335842,0,2024-09-12 11:08:28,25.0,3592.765625
8.39187502861023,8.369064,0,2024-09-12 11:08:28,18.5,3592.16796875
8.4248628616333,8.406246,0,2024-09-12 11:08:28,18.3,3592.6484375
8.424301624298096,8.402677,0,2024-09-12 11:08:28,14.8,3592.1328125
8.467896938323975,8.449392,0,2024-09-12 11:08:28,13.6,3592.2421875
8.492872476577759,8.472991,0,2024-09-12 11:08:28,14.0,3591.5
8.53885006904602,8.515163,0,2024-09-12 11:08:28,11.0,3590.98046875
8.564404487609863,8.548047,0,2024-09-12 11:08:28,14.5,3591.03515625
8.588298559188843,8.566733,0,2024-09-12 11:08:28,15.2,3590.9609375
8.686067342758179,8.661944,0,2024-09-12 11:08:28,22.2,3590.72265625
8.777899503707886,8.756985,0,2024-09-12 11:08:28,27.6,3590.671875
8.694857835769653,8.673001,0,2024-09-12 11:08:28,27.9,3592.93359375
8.74785852432251,8.720335,0,2024-09-12 11:08:28,17.3,3591.5859375
8.752856731414795,8.730972,0,2024-09-12 11:08:28,14.7,3590.96875
8.79186224937439,8.766292,0,2024-09-12 11:08:28,12.3,3589.98828125
8.8698570728302,8.845806,0,2024-09-12 11:08:28,10.5,3589.92578125
8.841856479644775,8.821224,0,2024-09-12 11:08:29,6.6,3590.7890625
8.86085844039917,8.845928,0,2024-09-12 11:08:29,13.1,3589.71875
8.893852472305298,8.871392,0,2024-09-12 11:08:29,19.0,3590.09765625
9.04983639717102,9.031124,1,2024-09-12 11:08:29,22.9,3587.82421875
8.980838060379028,8.956001,0,2024-09-12 11:08:29,18.9,3587.71484375
8.977858066558838,8.956732,0,2024-09-12 11:08:29,13.4,3589.0078125
9.024803876876831,9.004201,0,2024-09-12 11:08:29,11.5,3587.9765625
9.067850351333618,9.04782,0,2024-09-12 11:08:29,13.7,3587.16015625
9.059850215911865,9.038978,0,2024-09-12 11:08:29,19.3,3586.9921875
9.138846397399902,9.116513,0,2024-09-12 11:08:29,19.3,3586.9375
9.197843074798584,9.174869,0,2024-09-12 11:08:29,15.6,3587.63671875
9.190847635269165,9.169353,0,2024-09-12 11:08:29,10.6,3586.99609375
9.219849348068237,9.198145,0,2024-09-12 11:08:29,8.8,3587.2109375
9.25985074043274,9.237658,0,2024-09-12 11:08:29,28.6,3586.63671875
9.289251327514648,9.272562,0,2024-09-12 11:08:29,29.3,3586.35546875
9.320276737213135,9.298493,0,2024-09-12 11:08:29,30.7,3587.015625
9.38784646987915,9.370296,0,2024-09-12 11:08:29,33.7,3590.66796875
9.406847476959229,9.383496,0,2024-09-12 11:08:29,19.5,3589.98828125
9.50484824180603,9.482213,0,2024-09-12 11:08:29,20.2,3590.59375
